time,group,numsprays,area,numcolonies,avgarea
344465.0,B,3,16674.0,96,173.6875
344465.0,A,3,9774.0,84,116.35714285714286
344465.0,B,9,1957.5,6,326.25
344465.0,A,9,9026.5,55,164.11818181818182
346266.0,B,6,12495.0,12,1041.25
346266.0,A,6,0,0,0
346266.0,A,0,29200.5,1,29200.5
346266.0,B,0,36230.0,1,36230.0
346266.0,B,3,16608.0,90,184.53333333333333
346266.0,A,3,10351.0,83,124.71084337349397
346266.0,B,9,2222.5,4,555.625
346266.0,A,9,9567.5,49,195.25510204081633
348068.0,B,6,11590.0,15,772.6666666666666
348068.0,A,6,0,0,0
348068.0,A,0,28765.0,1,28765.0
348068.0,B,0,36723.0,1,36723.0
348068.0,B,3,17183.0,89,193.06741573033707
348068.0,A,3,12569.5,89,141.23033707865167
348068.0,B,9,3322.0,7,474.57142857142856
348068.0,A,9,9848.5,48,205.17708333333334
349869.0,B,6,13184.5,13,1014.1923076923077
349869.0,A,6,209.5,1,209.5
349869.0,A,0,29748.5,1,29748.5
349869.0,B,0,36591.5,1,36591.5
349869.0,B,3,17389.0,93,186.9784946236559
349869.0,A,3,12569.0,93,135.1505376344086
349869.0,B,9,2742.5,7,391.7857142857143
349869.0,A,9,9490.5,51,186.08823529411765
351670.0,B,6,13358.0,15,890.5333333333333
351670.0,A,6,1001.5,3,333.8333333333333
351670.0,A,0,27828.5,1,27828.5
351670.0,B,0,36614.5,1,36614.5
351670.0,B,3,17033.5,90,189.26111111111112
351670.0,A,3,13128.5,98,133.96428571428572
351670.0,B,9,2814.0,7,402.0
351670.0,A,9,10242.0,48,213.375
353472.0,B,6,13458.5,17,791.6764705882352
353472.0,A,6,763.0,3,254.33333333333334
353472.0,A,0,28363.5,1,28363.5
353472.0,B,0,37485.0,1,37485.0
353472.0,B,3,18176.5,89,204.23033707865167
353472.0,A,3,13060.0,101,129.30693069306932
353472.0,B,9,3715.5,7,530.7857142857143
353472.0,A,9,10435.0,52,200.67307692307693
355273.0,B,6,13317.5,11,1210.6818181818182
355273.0,A,6,392.5,1,392.5
355273.0,A,0,28172.0,1,28172.0
355273.0,B,0,37816.0,2,18908.0
355273.0,B,3,17780.0,90,197.55555555555554
